Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on equity,Debt,Sustainable Growth Rate,Graham,Sales growth 3Years,Profit growth 3Years,Profit after tax,OPM,Return on capital employed,Sales latest quarter,Return on assets,Debt to equity,Equity capital,Working capital,Free cash flow last year,Free cash flow preceding year
Aanchal Ispat,538812,,Steel - Medium / Small,5.08,10.59,12.31,0.64,-31.23,83.94,-31.23,8.60,-3.25,-5.63,0.86,-0.46,-3.93,33.80,-5.48,5.05,20.85,66.49,6.23,2.04
Aditya Ispat,513513,,Steel - Medium / Small,9.36,5.01,,0.67,-29.92,26.62,-29.92,,7.65,,-2.55,-5.70,0.72,11.67,-5.91,3.56,5.35,11.96,5.76,2.19
Aditya Ultra,,AUSL,Steel - Medium / Small,31.40,77.98,10.44,0.80,16.95,69.71,16.95,63.64,19.23,17.80,7.47,3.07,17.23,312.39,6.10,0.72,17.24,136.91,6.66,7.09
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,165.11,2135.21,40.66,6.24,16.52,0.59,15.30,49.18,16.04,24.52,52.51,21.01,22.10,91.69,13.10,0.00,25.86,157.50,-76.88,6.39
Ahlada Engineers,,AHLADA,Steel - Medium / Small,62.28,80.47,8.65,0.58,10.37,40.39,8.80,131.43,17.74,10.23,9.30,14.82,14.64,26.06,6.40,0.29,12.92,105.97,-3.92,3.92
Alliance Integ.,534064,,Steel - Medium / Small,4.15,163.90,,,,254.85,,,-2.61,3.53,-72.82,23.27,,19.32,-24.81,,39.50,-219.71,9.33,6.13
Ankit Met.Power,532870,ANKITMETAL,Steel - Medium / Small,2.00,28.22,,,,1104.91,,,15.92,-11.89,-256.79,-27.89,-34.20,146.87,-8.18,,141.11,-378.88,35.14,31.70
APL Apollo Tubes,533758,APLAPOLLO,Steel - Large,1598.80,44370.63,69.94,11.53,22.05,1022.59,17.45,267.07,28.70,26.48,634.39,5.34,25.18,5432.73,11.18,0.27,55.51,1024.09,449.74,-151.10
Arcee Industries,520121,,Steel - Medium / Small,6.89,3.54,,1.04,-18.18,0.22,-18.18,,-53.23,,-0.54,-319.05,-16.34,0.00,-8.05,0.06,5.14,0.77,0.06,0.19
Ashiana Ispat,513401,,Steel - Medium / Small,20.30,16.17,,0.44,1.79,92.78,1.79,,2.95,-17.70,-4.77,1.71,7.41,0.01,0.40,2.51,7.96,102.76,0.01,1.06
Azad India,504731,,Steel - Medium / Small,131.15,447.35,,7.60,-6.01,0.02,-6.01,,,,-0.29,,-6.00,0.00,-5.99,0.00,29.13,50.03,-1.26,-0.10
Bansal Roofing,538546,,Steel - Medium / Small,102.00,134.47,30.08,4.64,13.75,4.68,13.75,40.97,36.51,15.90,4.47,8.52,17.20,26.44,9.23,0.16,13.18,4.65,2.39,1.90
Bansal Wire Inds,544209,BANSALWIRE,Steel - Medium / Small,358.60,5614.10,48.81,5.04,20.65,220.01,20.65,113.30,15.64,17.76,115.01,6.23,14.27,929.26,7.32,0.20,78.28,615.72,-124.11,55.84
Beekay Steel Ind,539018,,Steel - Medium / Small,541.15,1032.08,8.44,1.03,11.17,238.60,11.01,871.31,4.63,7.85,122.33,12.71,10.73,270.99,8.22,0.24,19.09,442.98,-27.82,139.94
Bharat Wire,539799,BHARATWIRE,Steel - Medium / Small,174.92,1197.31,16.27,1.71,42.29,124.64,42.29,157.48,35.46,98.41,73.59,22.31,18.72,161.82,11.92,0.18,68.45,338.51,60.22,69.76
Bihar Sponge,500058,,Steel - Sponge Iron,12.10,109.15,9.47,,,27.46,,,129.40,19.63,11.53,-4.15,10.96,53.30,4.29,,90.21,0.22,17.45,-17.33
BMW Industries,542669,,Steel - Medium / Small,46.07,1036.97,13.61,1.49,10.06,187.84,8.53,48.64,14.58,1.09,76.18,25.09,13.15,147.59,6.95,0.27,22.51,200.86,144.73,66.11
Bombay Wire,504648,,Steel - Medium / Small,62.00,33.10,,4.24,-17.14,0.00,-17.14,,,12.41,-1.31,,-8.21,0.00,-16.49,0.00,0.53,6.80,6.71,-0.03
Chaman Metallics,,CMNL,Steel - Sponge Iron,166.00,400.64,41.18,4.18,15.22,195.61,15.22,60.01,10.35,31.59,9.73,7.98,11.49,91.34,7.07,2.04,24.13,24.16,-132.08,6.65
Cosmic CRF,543928,,Steel - Medium / Small,1234.75,1012.25,55.31,4.55,11.78,66.40,11.78,369.13,,,18.30,10.78,13.99,158.64,7.90,0.30,8.20,154.55,-47.35,-38.49
D P Wires,543962,DPWIRES,Steel - Medium / Small,209.33,324.47,11.59,1.36,17.39,0.97,17.39,250.51,29.05,14.68,27.99,5.05,24.57,154.56,14.14,0.00,15.50,206.33,18.58,38.39
DEE Development,544198,DEEDEV,Steel - Medium / Small,222.27,1534.86,63.98,1.97,6.00,372.65,6.00,100.78,16.78,22.59,23.99,12.09,9.68,162.00,2.42,0.48,69.05,624.39,-31.04,-41.89
Dhatre Udyog,540080,,Steel - Medium / Small,8.03,87.49,17.50,1.25,16.64,0.00,16.64,8.16,38.66,29.86,5.00,2.08,22.97,39.47,15.65,0.00,10.90,43.37,21.75,-2.80
Earthstahl &All.,543765,,Steel - Medium / Small,28.50,34.88,23.10,0.93,5.21,17.29,5.21,29.20,53.91,-10.77,1.51,6.17,8.22,36.68,3.20,0.46,12.24,8.46,-3.49,2.03
Electrotherm(I),526608,ELECTHERM,Steel - Medium / Small,1189.40,1515.63,4.36,,,1624.74,,,19.26,85.83,347.59,10.50,40.16,1081.23,17.66,,12.74,286.70,282.87,89.59
Excellent Wires,,EXCELLENT,Steel - Medium / Small,51.90,23.20,29.74,1.30,40.10,0.09,40.10,106.04,,,0.78,8.14,32.44,10.49,16.12,0.01,0.35,16.10,-1.91,0.30
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small,437.55,10557.25,27.80,4.03,9.63,407.49,8.60,196.20,26.16,15.04,379.82,15.80,11.96,1118.32,7.40,0.16,241.28,1089.49,151.10,-131.67
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small,649.05,788.73,13.13,3.31,23.84,0.25,17.06,467.18,14.60,10.33,60.09,40.40,31.50,39.77,21.69,0.00,6.08,64.63,25.21,44.44
Garg Furnace,530615,,Steel - Medium / Small,183.75,99.38,13.84,1.58,15.44,1.45,15.44,197.30,29.31,74.90,7.18,2.80,14.83,62.97,8.95,0.02,5.41,46.20,-14.03,6.43
Geekay Wires,,GEEKAYWIRE,Steel - Medium / Small,71.94,375.96,9.71,2.74,42.11,102.40,41.42,66.15,34.22,82.86,38.71,5.16,34.51,113.30,17.06,0.75,10.45,130.04,40.14,33.82
Godawari Power,532734,GPIL,Steel - Large,182.33,12197.42,15.09,2.69,21.89,33.71,20.43,135.00,11.30,12.95,808.44,22.15,29.19,1297.60,17.18,0.01,61.29,1624.22,625.91,513.27
Goodluck India,530655,GOODLUCK,Steel - Medium / Small,720.20,2357.83,14.76,1.91,15.17,664.31,12.98,644.88,30.88,63.66,159.76,7.83,17.44,941.98,7.55,0.54,6.55,1168.16,-240.97,-11.13
